"date_time","average_ndsi","date","time"
2025-10-09,-0.695585247082414,2025-10-09,"00:00"
2025-10-09 01:00:00,-0.280946720356979,2025-10-09,"01:00"
2025-10-09 02:00:00,0.11408567210631,2025-10-09,"02:00"
2025-10-09 03:00:00,-0.623535402977273,2025-10-09,"03:00"
2025-10-09 04:00:00,-0.626980239774589,2025-10-09,"04:00"
2025-10-09 05:00:00,-0.592719815917688,2025-10-09,"05:00"
2025-10-09 06:00:00,-0.870720112847134,2025-10-09,"06:00"
2025-10-09 07:00:00,-0.587187251393357,2025-10-09,"07:00"
2025-10-09 08:00:00,-0.918310551314552,2025-10-09,"08:00"
2025-10-09 09:00:00,-0.432376155462205,2025-10-09,"09:00"
2025-10-09 10:00:00,-0.566666440157136,2025-10-09,"10:00"
2025-10-09 11:00:00,-0.426541632055987,2025-10-09,"11:00"
2025-10-09 12:00:00,-0.767396480405911,2025-10-09,"12:00"
2025-10-09 13:00:00,-0.771624712622209,2025-10-09,"13:00"
2025-10-09 14:00:00,-0.747414994080356,2025-10-09,"14:00"
2025-10-09 15:00:00,-0.853556551088715,2025-10-09,"15:00"
2025-10-09 16:00:00,-0.777533992479849,2025-10-09,"16:00"
2025-10-09 17:00:00,-0.82015474473342,2025-10-09,"17:00"
2025-10-09 18:00:00,-0.627193052680448,2025-10-09,"18:00"
2025-10-09 19:00:00,-0.884191623408716,2025-10-09,"19:00"
2025-10-09 20:00:00,-0.895295501162381,2025-10-09,"20:00"
2025-10-09 21:00:00,-0.899436681304029,2025-10-09,"21:00"
2025-10-09 22:00:00,-0.784644377234207,2025-10-09,"22:00"
2025-10-09 23:00:00,-0.730655156617805,2025-10-09,"23:00"
2025-10-10,-0.496221765598364,2025-10-10,"00:00"
2025-10-10 01:00:00,-0.657540109615243,2025-10-10,"01:00"
2025-10-10 02:00:00,-0.0299998712715425,2025-10-10,"02:00"
2025-10-10 03:00:00,0.297846820774689,2025-10-10,"03:00"
2025-10-10 04:00:00,-0.646827368968162,2025-10-10,"04:00"
2025-10-10 05:00:00,-0.453120170330124,2025-10-10,"05:00"
2025-10-10 06:00:00,-0.461258890562211,2025-10-10,"06:00"
2025-10-10 07:00:00,-0.744688200823777,2025-10-10,"07:00"
2025-10-10 08:00:00,-0.641230720484571,2025-10-10,"08:00"
2025-10-10 09:00:00,-0.446788481512555,2025-10-10,"09:00"
2025-10-10 10:00:00,-0.765205202875836,2025-10-10,"10:00"
