"date_time","average_ndsi","date","time"
2025-10-07,-0.833801947442956,2025-10-07,"00:00"
2025-10-07 01:00:00,-0.82561588142911,2025-10-07,"01:00"
2025-10-07 02:00:00,-0.772572580271878,2025-10-07,"02:00"
2025-10-07 03:00:00,-0.817235978757371,2025-10-07,"03:00"
2025-10-07 04:00:00,-0.806910388061363,2025-10-07,"04:00"
2025-10-07 05:00:00,-0.850501374952021,2025-10-07,"05:00"
2025-10-07 06:00:00,-0.788122754733828,2025-10-07,"06:00"
2025-10-07 07:00:00,-0.350815029928712,2025-10-07,"07:00"
2025-10-07 08:00:00,-0.67481161098688,2025-10-07,"08:00"
2025-10-07 09:00:00,-0.469506529029871,2025-10-07,"09:00"
2025-10-07 10:00:00,-0.661041126792658,2025-10-07,"10:00"
2025-10-07 11:00:00,0.0959886941356327,2025-10-07,"11:00"
2025-10-07 12:00:00,-0.541184405155908,2025-10-07,"12:00"
2025-10-07 13:00:00,0.488975339206228,2025-10-07,"13:00"
2025-10-07 14:00:00,-0.687012025152556,2025-10-07,"14:00"
2025-10-07 15:00:00,0.209906549286177,2025-10-07,"15:00"
2025-10-07 16:00:00,-0.714785150890887,2025-10-07,"16:00"
2025-10-07 17:00:00,-0.793938616843159,2025-10-07,"17:00"
2025-10-07 18:00:00,-0.798799372881121,2025-10-07,"18:00"
2025-10-07 19:00:00,-0.816107928136896,2025-10-07,"19:00"
2025-10-07 20:00:00,-0.829876722876518,2025-10-07,"20:00"
2025-10-07 21:00:00,-0.845165578416245,2025-10-07,"21:00"
2025-10-07 22:00:00,-0.828830258603105,2025-10-07,"22:00"
2025-10-07 23:00:00,-0.846653319751141,2025-10-07,"23:00"
2025-10-08,-0.852575528803111,2025-10-08,"00:00"
2025-10-08 01:00:00,-0.855625140926303,2025-10-08,"01:00"
2025-10-08 02:00:00,-0.833882588867874,2025-10-08,"02:00"
2025-10-08 03:00:00,-0.796733379765147,2025-10-08,"03:00"
2025-10-08 04:00:00,-0.840939247693372,2025-10-08,"04:00"
2025-10-08 05:00:00,-0.853704483169317,2025-10-08,"05:00"
2025-10-08 06:00:00,-0.833440391548668,2025-10-08,"06:00"
2025-10-08 07:00:00,-0.797478260576284,2025-10-08,"07:00"
2025-10-08 08:00:00,-0.711378585487943,2025-10-08,"08:00"
2025-10-08 09:00:00,-0.72038373575756,2025-10-08,"09:00"
2025-10-08 10:00:00,-0.608014966860741,2025-10-08,"10:00"
2025-10-08 11:00:00,-0.543508381926365,2025-10-08,"11:00"
2025-10-08 12:00:00,-0.581270059030844,2025-10-08,"12:00"
2025-10-08 13:00:00,-0.607730642514811,2025-10-08,"13:00"
2025-10-08 14:00:00,-0.700340336006867,2025-10-08,"14:00"
2025-10-08 15:00:00,-0.701123640555601,2025-10-08,"15:00"
2025-10-08 16:00:00,-0.686370108355065,2025-10-08,"16:00"
2025-10-08 17:00:00,-0.765269892906188,2025-10-08,"17:00"
2025-10-08 18:00:00,-0.693320916708462,2025-10-08,"18:00"
2025-10-08 19:00:00,-0.813636687188181,2025-10-08,"19:00"
2025-10-08 20:00:00,-0.8036535942536,2025-10-08,"20:00"
2025-10-08 21:00:00,-0.844642842725637,2025-10-08,"21:00"
2025-10-08 22:00:00,-0.807742577384762,2025-10-08,"22:00"
2025-10-08 23:00:00,-0.830416948911785,2025-10-08,"23:00"
2025-10-09,-0.871089388135883,2025-10-09,"00:00"
2025-10-09 01:00:00,-0.833087756699576,2025-10-09,"01:00"
2025-10-09 02:00:00,-0.862536325286023,2025-10-09,"02:00"
2025-10-09 03:00:00,-0.864014828025441,2025-10-09,"03:00"
2025-10-09 04:00:00,-0.840406313433316,2025-10-09,"04:00"
2025-10-09 05:00:00,-0.867191453164959,2025-10-09,"05:00"
2025-10-09 06:00:00,-0.834820274943736,2025-10-09,"06:00"
2025-10-09 07:00:00,-0.838336165126912,2025-10-09,"07:00"
2025-10-09 08:00:00,-0.801905806972734,2025-10-09,"08:00"
2025-10-09 09:00:00,-0.791019820189658,2025-10-09,"09:00"
2025-10-09 10:00:00,-0.757518138498884,2025-10-09,"10:00"
2025-10-09 11:00:00,-0.521256696036537,2025-10-09,"11:00"
2025-10-09 12:00:00,-0.598815243161514,2025-10-09,"12:00"
2025-10-09 13:00:00,-0.581885360120894,2025-10-09,"13:00"
2025-10-09 14:00:00,-0.615726543538384,2025-10-09,"14:00"
2025-10-09 15:00:00,-0.741267187114333,2025-10-09,"15:00"
2025-10-09 16:00:00,-0.665055297083706,2025-10-09,"16:00"
2025-10-09 17:00:00,-0.630788991629093,2025-10-09,"17:00"
2025-10-09 18:00:00,-0.801963939419701,2025-10-09,"18:00"
2025-10-09 19:00:00,-0.718980313350965,2025-10-09,"19:00"
2025-10-09 20:00:00,-0.656464159390098,2025-10-09,"20:00"
2025-10-09 21:00:00,-0.833946154526569,2025-10-09,"21:00"
2025-10-09 22:00:00,-0.822585156202416,2025-10-09,"22:00"
2025-10-09 23:00:00,-0.805672371461692,2025-10-09,"23:00"
2025-10-10,-0.830116652352702,2025-10-10,"00:00"
2025-10-10 01:00:00,-0.8645675593451,2025-10-10,"01:00"
2025-10-10 02:00:00,-0.824001878821292,2025-10-10,"02:00"
2025-10-10 03:00:00,-0.82678683353123,2025-10-10,"03:00"
2025-10-10 04:00:00,-0.858362491651852,2025-10-10,"04:00"
2025-10-10 05:00:00,-0.832818444219523,2025-10-10,"05:00"
2025-10-10 06:00:00,-0.790149055529393,2025-10-10,"06:00"
2025-10-10 07:00:00,-0.537059643719775,2025-10-10,"07:00"
2025-10-10 08:00:00,-0.658896020975074,2025-10-10,"08:00"
2025-10-10 09:00:00,-0.727597840364288,2025-10-10,"09:00"
2025-10-10 10:00:00,-0.562495428618203,2025-10-10,"10:00"
2025-10-10 11:00:00,-0.607911523474912,2025-10-10,"11:00"
2025-10-10 12:00:00,-0.77744421587316,2025-10-10,"12:00"
2025-10-10 13:00:00,-0.672324548422722,2025-10-10,"13:00"
2025-10-10 14:00:00,-0.641549596304482,2025-10-10,"14:00"
2025-10-10 15:00:00,-0.806949675997204,2025-10-10,"15:00"
2025-10-10 16:00:00,-0.672063679801872,2025-10-10,"16:00"
2025-10-10 17:00:00,-0.792116635286398,2025-10-10,"17:00"
2025-10-10 18:00:00,-0.797117535803463,2025-10-10,"18:00"
2025-10-10 19:00:00,-0.813232065095504,2025-10-10,"19:00"
2025-10-10 20:00:00,-0.823626288069327,2025-10-10,"20:00"
2025-10-10 21:00:00,-0.832529419120535,2025-10-10,"21:00"
2025-10-10 22:00:00,-0.84638917054166,2025-10-10,"22:00"
2025-10-10 23:00:00,-0.835338522457115,2025-10-10,"23:00"
2025-10-11,-0.856127128836706,2025-10-11,"00:00"
2025-10-11 01:00:00,-0.863456370621381,2025-10-11,"01:00"
2025-10-11 02:00:00,-0.857932188046073,2025-10-11,"02:00"
2025-10-11 03:00:00,-0.846455692433051,2025-10-11,"03:00"
2025-10-11 04:00:00,-0.867711194634308,2025-10-11,"04:00"
2025-10-11 05:00:00,-0.829463456848498,2025-10-11,"05:00"
2025-10-11 06:00:00,-0.841325450628717,2025-10-11,"06:00"
2025-10-11 07:00:00,-0.56091882612,2025-10-11,"07:00"
2025-10-11 08:00:00,-0.765055198516192,2025-10-11,"08:00"
2025-10-11 09:00:00,-0.760695155308605,2025-10-11,"09:00"
2025-10-11 10:00:00,-0.368120087825589,2025-10-11,"10:00"
2025-10-11 11:00:00,-0.756614034499711,2025-10-11,"11:00"
2025-10-11 12:00:00,-0.636981895687282,2025-10-11,"12:00"
2025-10-11 13:00:00,-0.679145037365671,2025-10-11,"13:00"
2025-10-11 14:00:00,-0.60892423020685,2025-10-11,"14:00"
2025-10-11 15:00:00,-0.328350817654694,2025-10-11,"15:00"
2025-10-11 16:00:00,-0.504884406746532,2025-10-11,"16:00"
2025-10-11 17:00:00,-0.693334409357227,2025-10-11,"17:00"
2025-10-11 18:00:00,-0.821324397716095,2025-10-11,"18:00"
2025-10-11 19:00:00,-0.859126055266613,2025-10-11,"19:00"
2025-10-11 20:00:00,-0.839928388257454,2025-10-11,"20:00"
2025-10-11 21:00:00,-0.835532313459721,2025-10-11,"21:00"
2025-10-11 22:00:00,-0.85717895330023,2025-10-11,"22:00"
2025-10-11 23:00:00,-0.848490940182794,2025-10-11,"23:00"
2025-10-12,-0.870234637585795,2025-10-12,"00:00"
2025-10-12 01:00:00,-0.876009164913017,2025-10-12,"01:00"
2025-10-12 02:00:00,-0.73700691059952,2025-10-12,"02:00"
2025-10-12 03:00:00,-0.880177061703542,2025-10-12,"03:00"
2025-10-12 04:00:00,-0.854902811526562,2025-10-12,"04:00"
2025-10-12 05:00:00,-0.832276357103259,2025-10-12,"05:00"
2025-10-12 06:00:00,-0.844398682398812,2025-10-12,"06:00"
2025-10-12 07:00:00,-0.848223316719099,2025-10-12,"07:00"
2025-10-12 08:00:00,-0.73172060672158,2025-10-12,"08:00"
2025-10-12 09:00:00,-0.504167699883699,2025-10-12,"09:00"
2025-10-12 10:00:00,-0.736538238152261,2025-10-12,"10:00"
2025-10-12 11:00:00,-0.865649107511204,2025-10-12,"11:00"
2025-10-12 12:00:00,-0.734772661164827,2025-10-12,"12:00"
2025-10-12 13:00:00,-0.547100921587277,2025-10-12,"13:00"
2025-10-12 14:00:00,-0.641695562428237,2025-10-12,"14:00"
2025-10-12 15:00:00,-0.540711577952402,2025-10-12,"15:00"
2025-10-12 16:00:00,-0.766770492389903,2025-10-12,"16:00"
2025-10-12 17:00:00,-0.772658043141177,2025-10-12,"17:00"
2025-10-12 18:00:00,-0.795680713650972,2025-10-12,"18:00"
2025-10-12 19:00:00,-0.778389164729621,2025-10-12,"19:00"
2025-10-12 20:00:00,-0.83518101801813,2025-10-12,"20:00"
2025-10-12 21:00:00,-0.831524308540107,2025-10-12,"21:00"
2025-10-12 22:00:00,-0.874508913678446,2025-10-12,"22:00"
2025-10-12 23:00:00,-0.797042041453823,2025-10-12,"23:00"
2025-10-13,-0.801525870174636,2025-10-13,"00:00"
2025-10-13 01:00:00,-0.825688395381915,2025-10-13,"01:00"
2025-10-13 02:00:00,-0.813462788718277,2025-10-13,"02:00"
2025-10-13 03:00:00,-0.803083492740536,2025-10-13,"03:00"
2025-10-13 04:00:00,-0.848743793895243,2025-10-13,"04:00"
2025-10-13 05:00:00,-0.703030866696174,2025-10-13,"05:00"
2025-10-13 06:00:00,-0.746684492396335,2025-10-13,"06:00"
2025-10-13 07:00:00,-0.769337039493035,2025-10-13,"07:00"
2025-10-13 08:00:00,-0.716912640931588,2025-10-13,"08:00"
2025-10-13 09:00:00,-0.738736172736783,2025-10-13,"09:00"
2025-10-13 10:00:00,-0.690848095827948,2025-10-13,"10:00"
2025-10-13 11:00:00,-0.726328087673128,2025-10-13,"11:00"
2025-10-13 12:00:00,-0.673715878502236,2025-10-13,"12:00"
2025-10-13 13:00:00,-0.675874359253045,2025-10-13,"13:00"
2025-10-13 14:00:00,-0.692386768062463,2025-10-13,"14:00"
2025-10-13 15:00:00,-0.761711203213,2025-10-13,"15:00"
2025-10-13 16:00:00,-0.716136468080503,2025-10-13,"16:00"
2025-10-13 17:00:00,-0.716791985190566,2025-10-13,"17:00"
2025-10-13 18:00:00,-0.798402291911854,2025-10-13,"18:00"
2025-10-13 19:00:00,-0.808049954464611,2025-10-13,"19:00"
2025-10-13 20:00:00,-0.81564486337236,2025-10-13,"20:00"
2025-10-13 21:00:00,-0.791687023603498,2025-10-13,"21:00"
2025-10-13 22:00:00,-0.745758080584575,2025-10-13,"22:00"
2025-10-13 23:00:00,-0.812768581933079,2025-10-13,"23:00"
2025-10-14,-0.808481897405667,2025-10-14,"00:00"
2025-10-14 01:00:00,-0.765424598708664,2025-10-14,"01:00"
2025-10-14 02:00:00,-0.787302314781903,2025-10-14,"02:00"
2025-10-14 03:00:00,-0.745943423411851,2025-10-14,"03:00"
2025-10-14 04:00:00,-0.774234882993608,2025-10-14,"04:00"
2025-10-14 05:00:00,-0.796015040772651,2025-10-14,"05:00"
2025-10-14 06:00:00,-0.764206072167639,2025-10-14,"06:00"
2025-10-14 07:00:00,-0.471930056484969,2025-10-14,"07:00"
2025-10-14 08:00:00,-0.762397367457617,2025-10-14,"08:00"
2025-10-14 09:00:00,-0.734846883787797,2025-10-14,"09:00"
2025-10-14 10:00:00,-0.7857961886366,2025-10-14,"10:00"
2025-10-14 11:00:00,-0.725062433980294,2025-10-14,"11:00"
2025-10-14 12:00:00,-0.462758698601751,2025-10-14,"12:00"
2025-10-14 13:00:00,-0.65176896362814,2025-10-14,"13:00"
2025-10-14 14:00:00,-0.681661134945873,2025-10-14,"14:00"
2025-10-14 15:00:00,0.349211004909328,2025-10-14,"15:00"
2025-10-14 16:00:00,-0.583842535325536,2025-10-14,"16:00"
2025-10-14 17:00:00,-0.734565095317233,2025-10-14,"17:00"
2025-10-14 18:00:00,-0.729525513778993,2025-10-14,"18:00"
2025-10-14 19:00:00,-0.74773782580734,2025-10-14,"19:00"
2025-10-14 20:00:00,-0.619438755702225,2025-10-14,"20:00"
2025-10-14 21:00:00,-0.761246027131028,2025-10-14,"21:00"
2025-10-14 22:00:00,-0.726281110330949,2025-10-14,"22:00"
2025-10-14 23:00:00,-0.809780908740316,2025-10-14,"23:00"
2025-10-15,-0.83027572111124,2025-10-15,"00:00"
