"date_time","average_ndsi","date","time"
2025-10-09,-0.22439847291312,2025-10-09,"00:00"
2025-10-09 01:00:00,-0.306784433229681,2025-10-09,"01:00"
2025-10-09 02:00:00,-0.12379251037494,2025-10-09,"02:00"
2025-10-09 03:00:00,-0.321697876038667,2025-10-09,"03:00"
2025-10-09 04:00:00,-0.199717930984697,2025-10-09,"04:00"
2025-10-09 05:00:00,-0.302477511438662,2025-10-09,"05:00"
2025-10-09 06:00:00,-0.588180188423822,2025-10-09,"06:00"
2025-10-09 07:00:00,-0.448185308162784,2025-10-09,"07:00"
2025-10-09 08:00:00,-0.828115404726954,2025-10-09,"08:00"
2025-10-09 09:00:00,0.159272266821619,2025-10-09,"09:00"
2025-10-09 10:00:00,-0.288535086764987,2025-10-09,"10:00"
2025-10-09 11:00:00,-0.491492696360544,2025-10-09,"11:00"
2025-10-09 12:00:00,-0.262076450633456,2025-10-09,"12:00"
2025-10-09 13:00:00,-0.238970005945256,2025-10-09,"13:00"
2025-10-09 14:00:00,-0.38796789046929,2025-10-09,"14:00"
2025-10-09 15:00:00,-0.00419758993304494,2025-10-09,"15:00"
2025-10-09 16:00:00,-0.387344529386785,2025-10-09,"16:00"
2025-10-09 17:00:00,-0.367829986720015,2025-10-09,"17:00"
2025-10-09 18:00:00,-0.7107632980008,2025-10-09,"18:00"
2025-10-09 19:00:00,-0.647936167517381,2025-10-09,"19:00"
2025-10-09 20:00:00,-0.662235927769772,2025-10-09,"20:00"
2025-10-09 21:00:00,-0.757625293394794,2025-10-09,"21:00"
2025-10-09 22:00:00,-0.300912436034308,2025-10-09,"22:00"
2025-10-09 23:00:00,-0.611822508329684,2025-10-09,"23:00"
2025-10-10,-0.201929868278048,2025-10-10,"00:00"
2025-10-10 01:00:00,-0.042420930630616,2025-10-10,"01:00"
2025-10-10 02:00:00,0.00569630190900781,2025-10-10,"02:00"
2025-10-10 03:00:00,-0.0677406579548904,2025-10-10,"03:00"
2025-10-10 04:00:00,0.159388236301074,2025-10-10,"04:00"
2025-10-10 05:00:00,-0.139823134538876,2025-10-10,"05:00"
2025-10-10 06:00:00,-0.344064256431355,2025-10-10,"06:00"
2025-10-10 07:00:00,0.450451126975371,2025-10-10,"07:00"
2025-10-10 08:00:00,-0.567582855209698,2025-10-10,"08:00"
2025-10-10 09:00:00,-0.152840976655253,2025-10-10,"09:00"
2025-10-10 10:00:00,-0.460066935927241,2025-10-10,"10:00"
2025-10-10 11:00:00,-0.0856801564949042,2025-10-10,"11:00"
2025-10-10 12:00:00,-0.320322403422635,2025-10-10,"12:00"
2025-10-10 13:00:00,-0.315921463629335,2025-10-10,"13:00"
2025-10-10 14:00:00,-0.229208846020172,2025-10-10,"14:00"
2025-10-10 15:00:00,0.439097668539647,2025-10-10,"15:00"
2025-10-10 16:00:00,0.0763407014407348,2025-10-10,"16:00"
2025-10-10 17:00:00,-0.436954384692176,2025-10-10,"17:00"
