"date_time","average_ndsi","date","time"
2025-10-09,0.0453625491579291,2025-10-09,"00:00"
2025-10-09 01:00:00,-0.0202359104378233,2025-10-09,"01:00"
2025-10-09 02:00:00,0.157468767355473,2025-10-09,"02:00"
2025-10-09 03:00:00,0.00662804803775601,2025-10-09,"03:00"
2025-10-09 04:00:00,-0.0388302171989921,2025-10-09,"04:00"
2025-10-09 05:00:00,-0.0630202592565127,2025-10-09,"05:00"
2025-10-09 06:00:00,-0.269606427637398,2025-10-09,"06:00"
2025-10-09 07:00:00,-0.610699804557213,2025-10-09,"07:00"
2025-10-09 08:00:00,-0.708590089737026,2025-10-09,"08:00"
2025-10-09 09:00:00,-0.59278616949394,2025-10-09,"09:00"
2025-10-09 10:00:00,-0.355110258739702,2025-10-09,"10:00"
2025-10-09 11:00:00,-0.421833470182019,2025-10-09,"11:00"
2025-10-09 12:00:00,-0.540821673293458,2025-10-09,"12:00"
2025-10-09 13:00:00,-0.532189127614769,2025-10-09,"13:00"
2025-10-09 14:00:00,-0.437266849500322,2025-10-09,"14:00"
2025-10-09 15:00:00,-0.543664558379003,2025-10-09,"15:00"
2025-10-09 16:00:00,-0.548324799140478,2025-10-09,"16:00"
2025-10-09 17:00:00,-0.52593740411386,2025-10-09,"17:00"
2025-10-09 18:00:00,-0.610293557867326,2025-10-09,"18:00"
2025-10-09 19:00:00,-0.568966006092885,2025-10-09,"19:00"
2025-10-09 20:00:00,-0.594121922637582,2025-10-09,"20:00"
2025-10-09 21:00:00,-0.736214184980262,2025-10-09,"21:00"
2025-10-09 22:00:00,-0.319335546999841,2025-10-09,"22:00"
2025-10-09 23:00:00,-0.520616488992608,2025-10-09,"23:00"
2025-10-10,0.101564978696602,2025-10-10,"00:00"
2025-10-10 01:00:00,0.216860948971685,2025-10-10,"01:00"
2025-10-10 02:00:00,0.212716788795397,2025-10-10,"02:00"
2025-10-10 03:00:00,0.245459359340193,2025-10-10,"03:00"
2025-10-10 04:00:00,0.313389371973772,2025-10-10,"04:00"
2025-10-10 05:00:00,0.0836708943981855,2025-10-10,"05:00"
2025-10-10 06:00:00,-0.258712057512665,2025-10-10,"06:00"
2025-10-10 07:00:00,-0.244367343075296,2025-10-10,"07:00"
2025-10-10 08:00:00,-0.482760171950706,2025-10-10,"08:00"
2025-10-10 09:00:00,-0.313459244034732,2025-10-10,"09:00"
2025-10-10 10:00:00,-0.36908897053769,2025-10-10,"10:00"
2025-10-10 11:00:00,-0.146131587376993,2025-10-10,"11:00"
2025-10-10 12:00:00,-0.171154303596499,2025-10-10,"12:00"
2025-10-10 13:00:00,-0.249685862966369,2025-10-10,"13:00"
2025-10-10 14:00:00,0.00233532029736564,2025-10-10,"14:00"
2025-10-10 15:00:00,0.148869302999769,2025-10-10,"15:00"
2025-10-10 16:00:00,-0.240919539564798,2025-10-10,"16:00"
2025-10-10 17:00:00,-0.337614053825826,2025-10-10,"17:00"
2025-10-10 18:00:00,-0.449304351015579,2025-10-10,"18:00"
2025-10-10 19:00:00,-0.288504395696253,2025-10-10,"19:00"
2025-10-10 20:00:00,-0.253522145750029,2025-10-10,"20:00"
2025-10-10 21:00:00,-0.329038412313393,2025-10-10,"21:00"
2025-10-10 22:00:00,-0.203496244761971,2025-10-10,"22:00"
2025-10-10 23:00:00,-0.278254946616303,2025-10-10,"23:00"
2025-10-11,-0.0302258747672187,2025-10-11,"00:00"
2025-10-11 01:00:00,0.0908702449697273,2025-10-11,"01:00"
2025-10-11 02:00:00,0.0901179586197004,2025-10-11,"02:00"
2025-10-11 03:00:00,0.0681673860231003,2025-10-11,"03:00"
2025-10-11 04:00:00,0.214963073285048,2025-10-11,"04:00"
2025-10-11 05:00:00,0.131233249900829,2025-10-11,"05:00"
2025-10-11 06:00:00,-0.165601931584036,2025-10-11,"06:00"
2025-10-11 07:00:00,-0.60237552556361,2025-10-11,"07:00"
2025-10-11 08:00:00,-0.191612207261663,2025-10-11,"08:00"
2025-10-11 09:00:00,-0.0518327828248576,2025-10-11,"09:00"
2025-10-11 10:00:00,0.0269807749873781,2025-10-11,"10:00"
2025-10-11 11:00:00,0.217697415805307,2025-10-11,"11:00"
2025-10-11 12:00:00,-0.114742494626482,2025-10-11,"12:00"
2025-10-11 13:00:00,0.291044469697648,2025-10-11,"13:00"
2025-10-11 14:00:00,-0.483846368342987,2025-10-11,"14:00"
2025-10-11 15:00:00,0.0305335956420175,2025-10-11,"15:00"
2025-10-11 16:00:00,-0.215774662396856,2025-10-11,"16:00"
2025-10-11 17:00:00,-0.343578299862626,2025-10-11,"17:00"
2025-10-11 18:00:00,-0.233840631594737,2025-10-11,"18:00"
2025-10-11 19:00:00,-0.698813521004246,2025-10-11,"19:00"
2025-10-11 20:00:00,-0.435172190699013,2025-10-11,"20:00"
2025-10-11 21:00:00,-0.712535038556305,2025-10-11,"21:00"
2025-10-11 22:00:00,-0.347010586854369,2025-10-11,"22:00"
2025-10-11 23:00:00,-0.555888050519325,2025-10-11,"23:00"
2025-10-12,-0.302869703200578,2025-10-12,"00:00"
2025-10-12 01:00:00,-0.145590936746324,2025-10-12,"01:00"
2025-10-12 02:00:00,-0.0818930904396934,2025-10-12,"02:00"
2025-10-12 03:00:00,-0.170921668308677,2025-10-12,"03:00"
2025-10-12 04:00:00,-0.252597493089404,2025-10-12,"04:00"
2025-10-12 05:00:00,0.0346865891889032,2025-10-12,"05:00"
2025-10-12 06:00:00,-0.0508469276990582,2025-10-12,"06:00"
2025-10-12 07:00:00,-0.0431310785486596,2025-10-12,"07:00"
2025-10-12 08:00:00,-0.148394033547271,2025-10-12,"08:00"
2025-10-12 09:00:00,-0.34626179011337,2025-10-12,"09:00"
2025-10-12 10:00:00,-0.0982392219496351,2025-10-12,"10:00"
2025-10-12 11:00:00,-0.161594215623861,2025-10-12,"11:00"
2025-10-12 12:00:00,-0.0647466766088294,2025-10-12,"12:00"
2025-10-12 13:00:00,-0.36862782100556,2025-10-12,"13:00"
2025-10-12 14:00:00,-0.289354944692146,2025-10-12,"14:00"
2025-10-12 15:00:00,-0.362447531338125,2025-10-12,"15:00"
2025-10-12 16:00:00,-0.185894434161381,2025-10-12,"16:00"
2025-10-12 17:00:00,-0.297522931468971,2025-10-12,"17:00"
2025-10-12 18:00:00,-0.332155155322755,2025-10-12,"18:00"
2025-10-12 19:00:00,-0.623881044629383,2025-10-12,"19:00"
2025-10-12 20:00:00,-0.628287660047471,2025-10-12,"20:00"
2025-10-12 21:00:00,-0.331634515929992,2025-10-12,"21:00"
2025-10-12 22:00:00,-0.21055122694613,2025-10-12,"22:00"
2025-10-12 23:00:00,-0.508088318992105,2025-10-12,"23:00"
2025-10-13,0.120593968593783,2025-10-13,"00:00"
2025-10-13 01:00:00,0.283210524285204,2025-10-13,"01:00"
2025-10-13 02:00:00,0.199618593804121,2025-10-13,"02:00"
2025-10-13 03:00:00,0.194298077535607,2025-10-13,"03:00"
2025-10-13 04:00:00,0.285451944264491,2025-10-13,"04:00"
2025-10-13 05:00:00,0.243666046332073,2025-10-13,"05:00"
2025-10-13 06:00:00,0.18383295992837,2025-10-13,"06:00"
2025-10-13 07:00:00,0.208587559394045,2025-10-13,"07:00"
2025-10-13 08:00:00,-0.506635982225961,2025-10-13,"08:00"
2025-10-13 09:00:00,-0.710602652090068,2025-10-13,"09:00"
2025-10-13 10:00:00,-0.28780343660045,2025-10-13,"10:00"
2025-10-13 11:00:00,-0.502876413722989,2025-10-13,"11:00"
2025-10-13 12:00:00,-0.41805155547692,2025-10-13,"12:00"
2025-10-13 13:00:00,-0.44779623289544,2025-10-13,"13:00"
2025-10-13 14:00:00,-0.485100996859863,2025-10-13,"14:00"
2025-10-13 15:00:00,-0.732987498828929,2025-10-13,"15:00"
2025-10-13 16:00:00,-0.55102402883043,2025-10-13,"16:00"
2025-10-13 17:00:00,-0.447330023502884,2025-10-13,"17:00"
2025-10-13 18:00:00,-0.582764501020716,2025-10-13,"18:00"
2025-10-13 19:00:00,-0.345062931276866,2025-10-13,"19:00"
2025-10-13 20:00:00,-0.214612948189098,2025-10-13,"20:00"
2025-10-13 21:00:00,-0.180629958071293,2025-10-13,"21:00"
2025-10-13 22:00:00,-0.0437375611018029,2025-10-13,"22:00"
2025-10-13 23:00:00,0.102132424978576,2025-10-13,"23:00"
2025-10-14,0.126093848262172,2025-10-14,"00:00"
2025-10-14 01:00:00,0.242646996139453,2025-10-14,"01:00"
2025-10-14 02:00:00,0.378591115886415,2025-10-14,"02:00"
2025-10-14 03:00:00,0.278296227490888,2025-10-14,"03:00"
2025-10-14 04:00:00,0.249587510719993,2025-10-14,"04:00"
2025-10-14 05:00:00,0.219760106934928,2025-10-14,"05:00"
2025-10-14 06:00:00,-0.137319452738001,2025-10-14,"06:00"
2025-10-14 07:00:00,-0.237471187393837,2025-10-14,"07:00"
2025-10-14 08:00:00,-0.560309091856383,2025-10-14,"08:00"
2025-10-14 09:00:00,0.0367901268720399,2025-10-14,"09:00"
2025-10-14 10:00:00,-0.326225865361646,2025-10-14,"10:00"
2025-10-14 11:00:00,-0.232385856396778,2025-10-14,"11:00"
2025-10-14 12:00:00,-0.33393388409386,2025-10-14,"12:00"
2025-10-14 13:00:00,-0.317251492410414,2025-10-14,"13:00"
2025-10-14 14:00:00,-0.23917228265162,2025-10-14,"14:00"
2025-10-14 15:00:00,-0.200099997432983,2025-10-14,"15:00"
2025-10-14 16:00:00,-0.433930818249055,2025-10-14,"16:00"
2025-10-14 17:00:00,-0.624852894976961,2025-10-14,"17:00"
2025-10-14 18:00:00,-0.238668108067526,2025-10-14,"18:00"
2025-10-14 19:00:00,-0.301769297394284,2025-10-14,"19:00"
2025-10-14 20:00:00,-0.109620586844427,2025-10-14,"20:00"
2025-10-14 21:00:00,-0.0180796069823186,2025-10-14,"21:00"
2025-10-14 22:00:00,-0.068992848634318,2025-10-14,"22:00"
2025-10-14 23:00:00,0.0416889585673505,2025-10-14,"23:00"
2025-10-15,0.222516780018848,2025-10-15,"00:00"
2025-10-15 01:00:00,0.18865699705111,2025-10-15,"01:00"
2025-10-15 02:00:00,0.321045137413589,2025-10-15,"02:00"
2025-10-15 03:00:00,0.214474246900351,2025-10-15,"03:00"
2025-10-15 04:00:00,0.215820312367412,2025-10-15,"04:00"
2025-10-15 05:00:00,0.180471903273245,2025-10-15,"05:00"
2025-10-15 06:00:00,-0.112984119403007,2025-10-15,"06:00"
2025-10-15 07:00:00,-0.0250772465414483,2025-10-15,"07:00"
2025-10-15 08:00:00,0.00788606453155295,2025-10-15,"08:00"
2025-10-15 09:00:00,-0.221878346929803,2025-10-15,"09:00"
2025-10-15 10:00:00,-0.0410640434938162,2025-10-15,"10:00"
2025-10-15 11:00:00,-0.272667408680971,2025-10-15,"11:00"
2025-10-15 12:00:00,-0.16972729787803,2025-10-15,"12:00"
2025-10-15 13:00:00,-0.220860501297039,2025-10-15,"13:00"
