,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,camera_05_16_2025,Muntiacus_reevesi,09/10/2025 06:37,09/10/2025,6:37:00,0,0,0,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-09__06-37-00(1).JPG,2
2,camera_05_16_2025,Muntiacus_reevesi,09/10/2025 07:17,09/10/2025,7:17:05,2405,40.1,0.7,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-09__07-17-05(1).JPG,2
3,camera_05_16_2025,Muntiacus_reevesi,10/10/2025 07:39,10/10/2025,7:39:14,87729,1462.2,24.4,1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-10__07-39-14(1).JPG,1
4,camera_05_16_2025,Sciurus_carolinensis,10/10/2025 16:36,10/10/2025,16:36:20,0,0,0,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-10__16-36-20(1).JPG,1
5,camera_05_16_2025,Muntiacus_reevesi,11/10/2025 09:08,11/10/2025,9:08:45,91771,1529.5,25.5,1.1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-11__09-08-45(3).JPG,2
6,camera_05_16_2025,Sciurus_carolinensis,11/10/2025 11:40,11/10/2025,11:40:46,68666,1144.4,19.1,0.8,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-11__11-40-46(1).JPG,4
7,camera_05_16_2025,Muntiacus_reevesi,11/10/2025 14:07,11/10/2025,14:07:45,17940,299,5,0.2,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-11__14-07-45(1).JPG,1
8,camera_05_16_2025,Muntiacus_reevesi,14/10/2025 08:23,14/10/2025,8:23:18,238533,3975.6,66.3,2.8,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-14__08-23-18(2).JPG,1
9,camera_05_16_2025,Sciurus_carolinensis,14/10/2025 13:02,14/10/2025,13:02:05,264079,4401.3,73.4,3.1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-14__13-02-05(1).JPG,1
10,camera_05_16_2025,Sciurus_carolinensis,14/10/2025 16:32,14/10/2025,16:32:46,12641,210.7,3.5,0.1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-14__16-32-46(1).JPG,1
11,camera_05_16_2025,Muntiacus_reevesi,15/10/2025 16:50,15/10/2025,16:50:15,116817,1947,32.5,1.4,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-15__16-50-15(1).JPG,1
12,camera_05_16_2025,Sciurus_carolinensis,15/10/2025 17:16,15/10/2025,17:16:18,89012,1483.5,24.7,1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-15__17-16-18(1).JPG,1
13,camera_05_16_2025,Sciurus_carolinensis,16/10/2025 12:41,16/10/2025,12:41:38,69920,1165.3,19.4,0.8,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-16__12-41-38(3).JPG,1
14,camera_05_16_2025,Muntiacus_reevesi,17/10/2025 15:44,17/10/2025,15:44:36,168861,2814.3,46.9,2,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-17__15-44-36(1).JPG,4
15,camera_05_16_2025,Muntiacus_reevesi,17/10/2025 23:14,17/10/2025,23:14:46,27010,450.2,7.5,0.3,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-17__23-14-46(1).JPG,1
16,camera_05_16_2025,Muntiacus_reevesi,18/10/2025 07:40,18/10/2025,7:40:04,30318,505.3,8.4,0.4,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-18__07-40-04(1).JPG,2
17,camera_05_16_2025,Muntiacus_reevesi,18/10/2025 18:25,18/10/2025,18:25:17,38713,645.2,10.8,0.4,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-18__18-25-17(2).JPG,1
18,camera_05_16_2025,Sciurus_carolinensis,19/10/2025 09:36,19/10/2025,9:36:40,248102,4135,68.9,2.9,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-19__09-36-40(1).JPG,1
19,camera_05_16_2025,Sciurus_carolinensis,22/10/2025 10:45,22/10/2025,10:45:51,263351,4389.2,73.2,3.1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-22__10-45-51(1).JPG,1
20,camera_05_16_2025,Sciurus_carolinensis,22/10/2025 16:40,22/10/2025,16:40:54,21303,355,5.9,0.2,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-22__16-40-54(1).JPG,1
21,camera_05_16_2025,Muntiacus_reevesi,23/10/2025 11:33,23/10/2025,11:33:59,407322,6788.7,113.1,4.7,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-23__11-33-59(1).JPG,2
22,camera_05_16_2025,Muntiacus_reevesi,23/10/2025 12:39,23/10/2025,12:39:34,3935,65.6,1.1,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-23__12-39-34(1).JPG,5
23,camera_05_16_2025,Sciurus_carolinensis,23/10/2025 12:46,23/10/2025,12:46:43,72349,1205.8,20.1,0.8,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-23__12-46-43(1).JPG,3
24,Muntiacus_reevesi,Muntiacus_reevesi,23/10/2025 14:40,23/10/2025,14:40:56,0,0,0,0,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-23__14-40-56(3).JPG,2
25,Muntiacus_reevesi,Muntiacus_reevesi,23/10/2025 15:25,23/10/2025,15:25:21,2665,44.4,0.7,0,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-23__15-25-21(3).JPG,1
26,Muntiacus_reevesi,Muntiacus_reevesi,24/10/2025 00:46,24/10/2025,0:46:41,33680,561.3,9.4,0.4,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-24__00-46-41(1).JPG,1
27,Muntiacus_reevesi,Muntiacus_reevesi,24/10/2025 08:32,24/10/2025,8:32:01,27920,465.3,7.8,0.3,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-24__08-32-01(1).JPG,1
28,Muntiacus_reevesi,Muntiacus_reevesi,24/10/2025 17:16,24/10/2025,17:16:23,31462,524.4,8.7,0.4,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-24__17-16-23(1).JPG,2
29,Muntiacus_reevesi,Muntiacus_reevesi,24/10/2025 17:58,24/10/2025,17:58:13,2510,41.8,0.7,0,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-24__17-58-13(3).JPG,1
30,Muntiacus_reevesi,Muntiacus_reevesi,24/10/2025 19:44,24/10/2025,19:44:46,6393,106.6,1.8,0.1,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-24__19-44-46(3).JPG,1
31,Muntiacus_reevesi,Muntiacus_reevesi,25/10/2025 05:40,25/10/2025,5:40:51,35765,596.1,9.9,0.4,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-25__05-40-51(1).JPG,2
32,Muntiacus_reevesi,Muntiacus_reevesi,25/10/2025 16:40,25/10/2025,16:40:12,39561,659.4,11,0.5,/Users/ahmetselimesmer/Desktop/sensor_data/CRdata/Species/Muntiacus_reevesi,2MM07156__2025-10-25__16-40-12(1).JPG,2
