"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","station_108","Apodemus_sp",2025-11-21 20:27:48,2025-11-21,"20:27:48",0,0,0,0,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Apodemus_sp","camera_13_108_2025__2025-11-21__20-27-48(1).JPG",3
"2","station_108","Capreolus_capreolus",2025-10-18 17:46:22,2025-10-18,"17:46:22",0,0,0,0,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Capreolus_capreolus","camera_13_108_2025__2025-10-18__17-46-22(1).JPG",3
"3","station_108","Capreolus_capreolus",2025-10-20 13:54:24,2025-10-20,"13:54:24",158882,2648,44.1,1.8,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Capreolus_capreolus","camera_13_108_2025__2025-10-20__13-54-24(1).JPG",8
"4","station_108","Capreolus_capreolus",2025-10-23 23:30:09,2025-10-23,"23:30:09",293745,4895.8,81.6,3.4,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Capreolus_capreolus","camera_13_108_2025__2025-10-23__23-30-09(1).JPG",6
"5","station_108","Capreolus_capreolus",2025-10-25 17:46:51,2025-10-25,"17:46:51",152202,2536.7,42.3,1.8,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Capreolus_capreolus","camera_13_108_2025__2025-10-25__17-46-51(1).JPG",12
"6","station_108","Capreolus_capreolus",2025-10-26 18:44:47,2025-10-26,"18:44:47",89876,1497.9,25,1,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Capreolus_capreolus","camera_13_108_2025__2025-10-26__18-44-47(1).JPG",6
"7","station_108","Capreolus_capreolus",2025-11-03 16:59:35,2025-11-03,"16:59:35",684888,11414.8,190.2,7.9,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Capreolus_capreolus","camera_13_108_2025__2025-11-03__16-59-35(1).JPG",5
"8","station_108","Capreolus_capreolus",2025-11-21 13:22:00,2025-11-21,"13:22:00",1542145,25702.4,428.4,17.8,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Capreolus_capreolus","camera_13_108_2025__2025-11-21__13-22-00(1).JPG",9
"9","station_108","Muntiacus_reevesi",2025-10-11 00:44:13,2025-10-11,"00:44:13",0,0,0,0,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-11__00-44-13(1).JPG",6
"10","station_108","Muntiacus_reevesi",2025-10-11 15:48:11,2025-10-11,"15:48:11",54238,904,15.1,0.6,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-11__15-48-11(1).JPG",15
"11","station_108","Muntiacus_reevesi",2025-10-13 06:41:58,2025-10-13,"06:41:58",140027,2333.8,38.9,1.6,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-13__06-41-58(1).JPG",9
"12","station_108","Muntiacus_reevesi",2025-10-14 04:30:33,2025-10-14,"04:30:33",78515,1308.6,21.8,0.9,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-14__04-30-33(1).JPG",9
"13","station_108","Muntiacus_reevesi",2025-10-15 00:41:12,2025-10-15,"00:41:12",72639,1210.7,20.2,0.8,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-15__00-41-12(1).JPG",3
"14","station_108","Muntiacus_reevesi",2025-10-18 06:28:04,2025-10-18,"06:28:04",280012,4666.9,77.8,3.2,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-18__06-28-04(1).JPG",3
"15","station_108","Muntiacus_reevesi",2025-10-18 12:47:46,2025-10-18,"12:47:46",22782,379.7,6.3,0.3,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-18__12-47-46(1).JPG",3
"16","station_108","Muntiacus_reevesi",2025-10-18 17:46:13,2025-10-18,"17:46:13",17907,298.4,5,0.2,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-18__17-46-13(1).JPG",3
"17","station_108","Muntiacus_reevesi",2025-10-19 10:42:01,2025-10-19,"10:42:01",60948,1015.8,16.9,0.7,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-19__10-42-01(1).JPG",6
"18","station_108","Muntiacus_reevesi",2025-10-21 16:35:04,2025-10-21,"16:35:04",193983,3233.1,53.9,2.2,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-21__16-35-04(1).JPG",3
"19","station_108","Muntiacus_reevesi",2025-10-22 04:54:07,2025-10-22,"04:54:07",44343,739,12.3,0.5,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-22__04-54-07(1).JPG",3
"20","station_108","Muntiacus_reevesi",2025-10-23 17:34:29,2025-10-23,"17:34:29",132022,2200.4,36.7,1.5,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-23__17-34-29(1).JPG",3
"21","station_108","Muntiacus_reevesi",2025-10-24 18:05:39,2025-10-24,"18:05:39",88270,1471.2,24.5,1,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-24__18-05-39(1).JPG",3
"22","station_108","Muntiacus_reevesi",2025-10-25 17:21:30,2025-10-25,"17:21:30",83751,1395.8,23.3,1,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-25__17-21-30(1).JPG",3
"23","station_108","Muntiacus_reevesi",2025-10-26 17:25:49,2025-10-26,"17:25:49",86659,1444.3,24.1,1,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-26__17-25-49(1).JPG",3
"24","station_108","Muntiacus_reevesi",2025-10-26 18:05:21,2025-10-26,"18:05:21",2372,39.5,0.7,0,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-26__18-05-21(1).JPG",3
"25","station_108","Muntiacus_reevesi",2025-10-27 00:36:37,2025-10-27,"00:36:37",23476,391.3,6.5,0.3,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-27__00-36-37(1).JPG",12
"26","station_108","Muntiacus_reevesi",2025-10-28 00:44:45,2025-10-28,"00:44:45",86888,1448.1,24.1,1,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-28__00-44-45(1).JPG",3
"27","station_108","Muntiacus_reevesi",2025-10-30 07:14:55,2025-10-30,"07:14:55",196210,3270.2,54.5,2.3,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-30__07-14-55(1).JPG",3
"28","station_108","Muntiacus_reevesi",2025-10-31 17:04:20,2025-10-31,"17:04:20",121765,2029.4,33.8,1.4,"/home/natasha-lawson-hale/Pictures/camera_13_108_2025/station_108/Muntiacus_reevesi","camera_13_108_2025__2025-10-31__17-04-20(1).JPG",6
