"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","Station 97","Muntiacus_reevesi",2025-10-25 16:46:29,2025-10-25,"16:46:29",0,0,0,0,"DL-25/Station 97/Muntiacus_reevesi","DL-25__2025-10-25__16-46-29(1).JPG",2
"2","Station 97","Muntiacus_reevesi",2025-10-28 07:05:58,2025-10-28,"07:05:58",224369,3739.5,62.3,2.6,"DL-25/Station 97/Muntiacus_reevesi","DL-25__2025-10-28__07-05-58(1).JPG",2
"3","Station 97","Muntiacus_reevesi",2025-11-01 07:38:21,2025-11-01,"07:38:21",347543,5792.4,96.5,4,"DL-25/Station 97/Muntiacus_reevesi","DL-25__2025-11-01__07-38-21(1).JPG",2
"4","Station 97","Muntiacus_reevesi",2025-11-03 22:20:47,2025-11-03,"22:20:47",225746,3762.4,62.7,2.6,"DL-25/Station 97/Muntiacus_reevesi","DL-25__2025-11-03__22-20-47(1).JPG",2
"5","Station 97","Muntiacus_reevesi",2025-11-06 03:12:57,2025-11-06,"03:12:57",190330,3172.2,52.9,2.2,"DL-25/Station 97/Muntiacus_reevesi","DL-25__2025-11-06__03-12-57(2).JPG",1
"6","Station 97","Muntiacus_reevesi",2025-11-06 16:01:31,2025-11-06,"16:01:31",46114,768.6,12.8,0.5,"DL-25/Station 97/Muntiacus_reevesi","DL-25__2025-11-06__16-01-31(1).JPG",2
"7","Station 97","Muntiacus_reevesi",2025-11-08 05:31:34,2025-11-08,"05:31:34",135003,2250.1,37.5,1.6,"DL-25/Station 97/Muntiacus_reevesi","DL-25__2025-11-08__05-31-34(1).JPG",2
