,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,Camera_15_49_2025,Aix galericulata,2025-10-08 16:26:50,2025-10-08,16:26:50,0,0,0,0,../output/camera/everyones_Species/Aix galericulata,camera_15_49_2025__2025-10-08__16-26-50(1).JPG,6
2,camera_15_49_2025,Capreolus capreolus,2025-10-14 02:42:32,2025-10-14,02:42:32,0,0,0,0,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-10-14__02-42-32(1).JPG,3
3,camera_15_49_2025,Capreolus capreolus,2025-10-14 18:56:51,2025-10-14,18:56:51,58459,974.3,16.2,0.7,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-10-14__18-56-51(1).JPG,3
4,Camera_15_49_2025,Capreolus capreolus,2025-10-16 03:00:33,2025-10-16,03:00:33,115422,1923.7,32.1,1.3,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-10-16__03-00-33(1).JPG,3
5,camera_15_49_2025,Capreolus capreolus,2025-10-17 19:38:28,2025-10-17,19:38:28,146275,2437.9,40.6,1.7,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-10-17__19-38-28(1).JPG,3
6,camera_15_49_2025,Capreolus capreolus,2025-10-23 04:29:08,2025-10-23,04:29:08,463840,7730.7,128.8,5.4,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-10-23__04-29-08(1).JPG,3
7,Camera_15_49_2025,Capreolus capreolus,2025-11-02 06:46:30,2025-11-02,06:46:30,872242,14537.4,242.3,10.1,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-11-02__06-46-30(1).JPG,3
8,camera_15_49_2025,Capreolus capreolus,2025-11-05 07:48:29,2025-11-05,07:48:29,262919,4382,73,3,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-11-05__07-48-29(1).JPG,3
9,camera_15_49_2025,Capreolus capreolus,2025-11-17 22:21:28,2025-11-17,22:21:28,1089179,18153,302.6,12.6,../output/camera/everyones_Species/Capreolus capreolus,camera_15_49_2025__2025-11-17__22-21-28(1).JPG,3
10,Camera_15_49_2025,Capreolus capreolus,2025-11-23 05:29:11,2025-11-23,05:29:11,457663,7627.7,127.1,5.3,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-11-23__05-29-11(1).JPG,3
11,camera_15_49_2025,Capreolus capreolus,2025-11-24 04:20:23,2025-11-24,04:20:23,82272,1371.2,22.9,1,../output/camera/everyones_Species/Capreolus capreolus,Images__2025-11-24__04-20-23(1).JPG,3
12,camera_15_49_2025,Columba palumbus,2025-11-13 12:42:58,2025-11-13,12:42:58,0,0,0,0,../output/camera/everyones_Species/Columba palumbus,camera_15_49_2025__2025-11-13__12-42-58(1).JPG,3
13,Camera_15_49_2025,Homo sapien,2025-10-08 11:01:47,2025-10-08,11:01:47,0,0,0,0,../output/camera/everyones_Species/Homo sapien,Images__2025-10-08__11-01-47(1).JPG,12
14,camera_15_49_2025,Homo sapien,2025-11-24 11:08:41,2025-11-24,11:08:41,4061214,67686.9,1128.1,47,../output/camera/everyones_Species/Homo sapien,Images__2025-11-24__11-08-41(1).JPG,15
15,camera_15_49_2025,Muntiacus reevesi,2025-10-23 18:09:10,2025-10-23,18:09:10,0,0,0,0,../output/camera/everyones_Species/Muntiacus reevesi,Images__2025-10-23__18-09-10(1).JPG,3
16,Camera_15_49_2025,Muntiacus reevesi,2025-10-30 01:46:10,2025-10-30,01:46:10,545820,9097,151.6,6.3,../output/camera/everyones_Species/Muntiacus reevesi,Images__2025-10-30__01-46-10(1).JPG,3
17,camera_15_49_2025,Muntiacus reevesi,2025-10-31 00:15:41,2025-10-31,00:15:41,80971,1349.5,22.5,0.9,../output/camera/everyones_Species/Muntiacus reevesi,Images__2025-10-31__00-15-41(1).JPG,3
18,camera_15_49_2025,Muntiacus reevesi,2025-11-04 17:29:55,2025-11-04,17:29:55,407654,6794.2,113.2,4.7,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-04__17-29-55(1).JPG,3
19,Camera_15_49_2025,Muntiacus reevesi,2025-11-04 22:57:46,2025-11-04,22:57:46,19671,327.9,5.5,0.2,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-04__22-57-46(1).JPG,3
20,camera_15_49_2025,Muntiacus reevesi,2025-11-05 00:26:57,2025-11-05,00:26:57,5351,89.2,1.5,0.1,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-05__00-26-57(1).JPG,3
21,camera_15_49_2025,Muntiacus reevesi,2025-11-05 02:25:21,2025-11-05,02:25:21,7104,118.4,2,0.1,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-05__02-25-21(1).JPG,3
22,Camera_15_49_2025,Muntiacus reevesi,2025-11-05 03:21:54,2025-11-05,03:21:54,3393,56.5,0.9,0,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-05__03-21-54(1).JPG,3
23,camera_15_49_2025,Muntiacus reevesi,2025-11-05 23:08:58,2025-11-05,23:08:58,71224,1187.1,19.8,0.8,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-05__23-08-58(1).JPG,3
24,camera_15_49_2025,Muntiacus reevesi,2025-11-10 22:48:04,2025-11-10,22:48:04,430746,7179.1,119.7,5,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-10__22-48-04(1).JPG,6
25,Camera_15_49_2025,Muntiacus reevesi,2025-11-12 04:32:41,2025-11-12,04:32:41,107077,1784.6,29.7,1.2,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-12__04-32-41(1).JPG,3
26,camera_15_49_2025,Muntiacus reevesi,2025-11-15 00:59:00,2025-11-15,00:59:00,246379,4106.3,68.4,2.9,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-15__00-59-00(1).JPG,3
27,camera_15_49_2025,Muntiacus reevesi,2025-11-15 03:20:32,2025-11-15,03:20:32,8492,141.5,2.4,0.1,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-15__03-20-32(1).JPG,6
28,Camera_15_49_2025,Muntiacus reevesi,2025-11-18 07:27:54,2025-11-18,07:27:54,274042,4567.4,76.1,3.2,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-18__07-27-54(1).JPG,3
29,camera_15_49_2025,Muntiacus reevesi,2025-11-19 02:15:41,2025-11-19,02:15:41,67667,1127.8,18.8,0.8,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-19__02-15-41(1).JPG,3
30,camera_15_49_2025,Muntiacus reevesi,2025-11-20 21:37:52,2025-11-20,21:37:52,156131,2602.2,43.4,1.8,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-20__21-37-52(1).JPG,6
31,Camera_15_49_2025,Muntiacus reevesi,2025-11-21 23:57:03,2025-11-21,23:57:03,94751,1579.2,26.3,1.1,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-21__23-57-03(1).JPG,3
32,camera_15_49_2025,Muntiacus reevesi,2025-11-23 05:29:11,2025-11-23,05:29:11,106328,1772.1,29.5,1.2,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-23__05-29-11(1).JPG,3
33,camera_15_49_2025,Muntiacus reevesi,2025-11-24 04:20:23,2025-11-24,04:20:23,82272,1371.2,22.9,1,../output/camera/everyones_Species/Muntiacus reevesi,camera_15_49_2025__2025-11-24__04-20-23(1).JPG,3
