"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","DL-12","Capreolus_capreolus",2025-10-10 07:50:23,2025-10-10,"07:50:23",0,0,0,0,"C:/Users/Home/Downloads/DL-12/Capreolus_capreolus","DL-12__2025-10-10__07-50-23(1).JPG",4
"2","DL-12","Capreolus_capreolus",2025-10-13 10:05:15,2025-10-13,"10:05:15",267292,4454.9,74.2,3.1,"C:/Users/Home/Downloads/DL-12/Capreolus_capreolus","DL-12__2025-10-13__10-05-15(1).JPG",7
"3","DL-12","Capreolus_capreolus",2025-10-15 08:36:33,2025-10-15,"08:36:33",167478,2791.3,46.5,1.9,"C:/Users/Home/Downloads/DL-12/Capreolus_capreolus","DL-12__2025-10-15__08-36-33(1).JPG",4
"4","DL-12","Capreolus_capreolus",2025-10-17 20:35:51,2025-10-17,"20:35:51",215958,3599.3,60,2.5,"C:/Users/Home/Downloads/DL-12/Capreolus_capreolus","DL-12__2025-10-17__20-35-51(1).JPG",2
"5","DL-12","Capreolus_capreolus",2025-10-18 01:02:58,2025-10-18,"01:02:58",16027,267.1,4.5,0.2,"C:/Users/Home/Downloads/DL-12/Capreolus_capreolus","DL-12__2025-10-18__01-02-58(1).JPG",1
"6","DL-12","Capreolus_capreolus",2025-10-20 20:23:25,2025-10-20,"20:23:25",242427,4040.4,67.3,2.8,"C:/Users/Home/Downloads/DL-12/Capreolus_capreolus","DL-12__2025-10-20__20-23-25(1).JPG",5
"7","DL-12","Capreolus_capreolus",2025-10-22 07:55:02,2025-10-22,"07:55:02",127897,2131.6,35.5,1.5,"C:/Users/Home/Downloads/DL-12/Capreolus_capreolus","DL-12__2025-10-22__07-55-02(1).JPG",4
"8","DL-12","Meles_meles",2025-10-16 00:57:01,2025-10-16,"00:57:01",0,0,0,0,"C:/Users/Home/Downloads/DL-12/Meles_meles","DL-12__2025-10-16__00-57-01(1).JPG",2
"9","DL-12","Meles_meles",2025-10-19 04:50:41,2025-10-19,"04:50:41",273220,4553.7,75.9,3.2,"C:/Users/Home/Downloads/DL-12/Meles_meles","DL-12__2025-10-19__04-50-41(1).JPG",2
"10","DL-12","Muntiacus_reevesi",2025-10-09 08:54:22,2025-10-09,"08:54:22",0,0,0,0,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-09__08-54-22(1).JPG",6
"11","DL-12","Muntiacus_reevesi",2025-10-09 20:10:40,2025-10-09,"20:10:40",40578,676.3,11.3,0.5,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-09__20-10-40(1).JPG",2
"12","DL-12","Muntiacus_reevesi",2025-10-10 05:43:57,2025-10-10,"05:43:57",34397,573.3,9.6,0.4,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-10__05-43-57(1).JPG",8
"13","DL-12","Muntiacus_reevesi",2025-10-10 18:17:27,2025-10-10,"18:17:27",45210,753.5,12.6,0.5,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-10__18-17-27(1).JPG",4
"14","DL-12","Muntiacus_reevesi",2025-10-12 22:24:46,2025-10-12,"22:24:46",187639,3127.3,52.1,2.2,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-12__22-24-46(1).JPG",6
"15","DL-12","Muntiacus_reevesi",2025-10-13 02:51:35,2025-10-13,"02:51:35",16009,266.8,4.4,0.2,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-13__02-51-35(1).JPG",1
"16","DL-12","Muntiacus_reevesi",2025-10-13 04:02:25,2025-10-13,"04:02:25",4250,70.8,1.2,0,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-13__04-02-25(6).JPG",15
"17","DL-12","Muntiacus_reevesi",2025-10-13 06:39:39,2025-10-13,"06:39:39",9434,157.2,2.6,0.1,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-13__06-39-39(1).JPG",2
"18","DL-12","Muntiacus_reevesi",2025-10-17 00:28:07,2025-10-17,"00:28:07",323308,5388.5,89.8,3.7,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-17__00-28-07(1).JPG",3
"19","DL-12","Muntiacus_reevesi",2025-10-17 07:39:31,2025-10-17,"07:39:31",25884,431.4,7.2,0.3,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-17__07-39-31(1).JPG",2
"20","DL-12","Muntiacus_reevesi",2025-10-18 19:51:23,2025-10-18,"19:51:23",130312,2171.9,36.2,1.5,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-18__19-51-23(1).JPG",2
"21","DL-12","Muntiacus_reevesi",2025-10-18 22:42:59,2025-10-18,"22:42:59",10296,171.6,2.9,0.1,"C:/Users/Home/Downloads/DL-12/Muntiacus_reevesi","DL-12__2025-10-18__22-42-59(1).JPG",9
