,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,63,Coloeus_monedula,11/10/2025 16:22,11/10/2025,16:22:00,0,0,0,0,/Users/chuziyue/Documents/LIFE70072_11.24/63/Coloeus_monedula,63__2025-10-11__16-22-00(1).JPG,4
2,63,Columba_palumbus,12/10/2025 00:46,12/10/2025,0:46:01,0,0,0,0,/Users/chuziyue/Documents/LIFE70072_11.24/63/Columba_palumbus,63__2025-10-12__00-46-01(2).JPG,8
3,63,Strix_aluco,12/10/2025 15:27,12/10/2025,15:27:00,0,0,0,0,/Users/chuziyue/Documents/LIFE70072_11.24/63/Strix_aluco,63__2025-10-12__15-27-00(2).JPG,6
3,63,Turdus_philomelos,11/10/2025 00:41,11/10/2025,0:41:01,0,0,0,0,/Users/chuziyue/Documents/LIFE70072_11.24/63/Turdus_philomelos,63__2025-10-11__00-41-01(1).JPG,1
