,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,85,Buteo_buteo,03/11/2025 11:28,03/11/2025,11:28:56,0,0,0,0,../results/images/camera_03_85_2025/Buteo_buteo,camera_03_85_2025__2025-11-03__11-28-56(1).JPG,2
2,85,Homo_sapiens,09/10/2025 10:36,09/10/2025,10:36:00,0,0,0,0,../results/images/camera_03_85_2025/Homo_sapiens,camera_03_85_2025__2025-10-09__10-36-00(2).JPG,2
3,85,Homo_sapiens,11/10/2025 15:02,11/10/2025,15:02:45,188805,3146.8,52.4,2.2,../results/images/camera_03_85_2025/Homo_sapiens,camera_03_85_2025__2025-10-11__15-02-45(1).JPG,2
4,85,Muntiacus_reevesi,11/10/2025 07:03,11/10/2025,07:03:33,0,0,0,0,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-10-11__07-03-33(1).JPG,3
5,85,Muntiacus_reevesi,16/10/2025 08:17,16/10/2025,08:17:00,436407,7273.4,121.2,5,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-10-16__08-17-00(2).JPG,2
6,85,Muntiacus_reevesi,16/10/2025 22:24,16/10/2025,22:24:35,50855,847.6,14.1,0.6,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-10-16__22-24-35(2).JPG,1
7,85,Muntiacus_reevesi,25/10/2025 07:13,25/10/2025,07:13:39,722944,12049.1,200.8,8.4,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-10-25__07-13-39(2).JPG,4
8,85,Muntiacus_reevesi,28/10/2025 07:11,28/10/2025,07:11:25,259066,4317.8,72,3,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-10-28__07-11-25(2).JPG,2
9,85,Muntiacus_reevesi,28/10/2025 18:04,28/10/2025,18:04:28,39183,653,10.9,0.5,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-10-28__18-04-28(1).JPG,1
10,85,Muntiacus_reevesi,06/11/2025 07:05,06/11/2025,07:05:22,738054,12300.9,205,8.5,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-11-06__07-05-22(1).JPG,2
11,85,Muntiacus_reevesi,06/11/2025 22:50,06/11/2025,22:50:10,56688,944.8,15.7,0.7,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-11-06__22-50-10(2).JPG,2
12,85,Muntiacus_reevesi,11/11/2025 16:53,11/11/2025,16:53:57,410627,6843.8,114.1,4.8,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-11-11__16-53-57(1).JPG,2
13,85,Muntiacus_reevesi,12/11/2025 17:04,12/11/2025,17:04:42,87045,1450.8,24.2,1,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-11-12__17-04-42(1).JPG,2
14,85,Muntiacus_reevesi,14/11/2025 15:52,14/11/2025,15:52:37,168475,2807.9,46.8,2,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-11-14__15-52-37(1).JPG,1
15,85,Muntiacus_reevesi,15/11/2025 07:55,15/11/2025,07:55:58,57801,963.4,16.1,0.7,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-11-15__07-55-58(1).JPG,1
16,85,Muntiacus_reevesi,19/11/2025 13:11,19/11/2025,13:11:42,364544,6075.7,101.3,4.2,../results/images/camera_03_85_2025/Muntiacus_reevesi,camera_03_85_2025__2025-11-19__13-11-42(1).JPG,2
